Oriole GO,RH,
Old Cummer GO,RH,
Langstaff GO,RH,
Richmond Hill GO,RH,
Gormley GO,RH,
Downsview Park GO,BR,
York University GO,BR,
Rutherford GO,BR,
Maple GO,BR,
King City GO,BR,
Aurora GO,BR,
Newmarket GO,BR,
East Gwillimbury GO,BR,
Bradford GO,BR,
Barrie South GO,BR,
Allandale Waterfront GO,BR,
Bloor GO,KI,
Weston GO,KI,
Etobicoke North GO,KI,
Malton GO,KI,
Bramalea GO,KI,
Brampton GO,KI,
Mount Pleasant GO,KI,
Georgetown GO,KI,
Acton GO,KI,
Guelph Central GO,KI,
Kitchener GO,KI,
Danforth GO,LE,ST
Scarborough GO,LE,ST
Eglinton GO,LE,
Guildwood GO,LE,
Rouge Hill GO,LE,
Pickering GO,LE,
Ajax GO,LE,
Whitby GO,LE,
Oshawa GO,LE,
Exhibition GO,LW,
Mimico GO,LW,
Long Branch GO,LW,
Port Credit GO,LW,
Clarkson GO,LW,
Oakville GO,LW,
Bronte GO,LW,
Appleby GO,LW,
Burlington GO,LW,
Aldershot GO,LW,
Hamilton GO,LW,
West Harbour GO,LW,
St Catherines GO,LW,
Niagara Falls GO,LW,
Kipling GO,MI,
Dixie GO,MI,
Cooksville GO,MI,
Erindale GO,MI,
Streetsville GO,MI,
Meadowvale GO,MI,
Lisgar GO,MI,
Milton GO,MI,
Kennedy GO,ST,
Agincourt GO,ST,
Milliken GO,ST,
Unionville GO,ST,
Centennial GO,ST,
Markham GO,ST,
Mount Joy GO,ST,
Stouffville GO,ST,
Lincolnville GO,ST,
