Arrival Time,Departure Time,GO LW - Aldershot GO at Mimico GO,GO LW - Burlington GO at Mimico GO,GO LW - Mimico GO at Mimico GO,GO LW - Oakville GO at Mimico GO,GO LW - Union Station at Mimico GO
05:53,05:53,,,,,Corridor
06:23,06:23,,,,,Corridor
06:27,06:27,Corridor,,,,
06:58,06:58,Corridor,,,,
07:01,07:01,,,,,Corridor
07:31,07:31,,,,,Corridor
07:33,07:33,Corridor,,,,
08:01,08:01,,,,,Corridor
08:03,08:03,Corridor,,,,
08:23,08:23,,,Corridor,,
08:28,08:28,Corridor,,,,
08:32,08:32,,,,,Corridor
08:43,08:43,,,Corridor,,
08:58,08:58,,,,,Corridor
09:03,09:03,Corridor,,,,
09:11,09:11,,,,,Corridor
09:18,09:18,,,,Corridor,
09:29,09:29,,,,,Corridor
09:33,09:33,Corridor,,,,
09:58,09:58,Corridor,,,,
09:59,09:59,,,,,Corridor
10:13,10:13,,,,Corridor,
10:24,10:24,,,,,Corridor
10:28,10:28,Corridor,,,,
10:41,10:41,,,,,Corridor
10:58,10:58,Corridor,,,,
10:59,10:59,,,,,Corridor
11:13,11:13,,,,Corridor,
11:28,11:28,Corridor,,,,
11:29,11:29,,,,,Corridor
11:42,11:42,,,,,Corridor
11:54,11:54,,,,,Corridor
11:58,11:58,Corridor,,,,
12:13,12:13,,,,Corridor,
12:24,12:24,,,,,Corridor
12:28,12:28,Corridor,,,,
12:39,12:39,,,,,Corridor
12:54,12:54,,,,,Corridor
12:58,12:58,Corridor,,,,
13:13,13:13,,,,Corridor,
13:24,13:24,,,,,Corridor
13:28,13:28,Corridor,,,,
13:39,13:39,,,,,Corridor
13:54,13:54,,,,,Corridor
13:58,13:58,Corridor,,,,
14:24,14:24,,,,,Corridor
14:28,14:28,Corridor,,,,
14:39,14:39,,,,,Corridor
14:54,14:54,,,,,Corridor
14:58,14:58,Corridor,,,,
15:24,15:24,,,,,Corridor
15:30,15:30,,Corridor,,,
15:38,15:38,,,,,Corridor
15:51,15:51,,,,,Corridor
15:55,15:55,Corridor,,,,
16:08,16:08,,,,,Corridor
16:21,16:21,,,,,Corridor
16:25,16:25,Corridor,,,,
16:38,16:38,,,,,Corridor
16:54,16:54,,,,,Corridor
16:55,16:55,Corridor,,,,
17:22,17:22,,,,,Corridor
17:25,17:25,Corridor,,,,
17:30,17:30,,,,,Corridor
17:54,17:54,,,,,Corridor
17:55,17:55,Corridor,,,,
18:24,18:24,,,,,Corridor
18:30,18:30,,Corridor,,,
18:54,18:54,,,,,Corridor
18:59,18:59,Corridor,,,,
19:28,19:28,Corridor,,,,
19:29,19:29,,,,,Corridor
19:54,19:54,,,,,Corridor
19:58,19:58,Corridor,,,,
20:24,20:24,,,,,Corridor
20:28,20:28,Corridor,,,,
20:54,20:54,,,,,Corridor
20:58,20:58,Corridor,,,,
21:24,21:24,,,,,Corridor
21:28,21:28,Corridor,,,,
21:54,21:54,,,,,Corridor
21:58,21:58,Corridor,,,,
22:24,22:24,,,,,Corridor
22:28,22:28,Corridor,,,,
22:54,22:54,,,,,Corridor
22:58,22:58,Corridor,,,,
23:24,23:24,,,,,Corridor
23:28,23:28,Corridor,,,,
23:54,23:54,,,,,Corridor
23:58,23:58,Corridor,,,,
24:24,24:24,,,,,Corridor
24:28,24:28,Corridor,,,,
24:58,24:58,Corridor,,,,
