agency,route_id,trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type,stop_headsign,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,connection_distance,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,arrival_time_hhmm,departure_time_hhmm
GO,01190419-61,20190215-61-61092,02629,19200.0,19200.0,1,0,0,,Gormley GO,43.94091029999999,-79.3985214,62,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02629,0,,1,0.0,20190215,61C - Union Station,,1,eggoG005,127292,1,1,61C,GO,61,Richmond Hill Train-Bus Service,3,0099c7,FFFFFF,05:20,05:20
GO,01190419-RH,20190215-RH-830,GO,22500.0,22500.0,1,0,0,Gormley GO 06:15 - Union Station 07:11,Gormley GO,43.941617,-79.399033,62,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=GO,0,,1,0.0,20190215,RH - Union Station,,1,19A,GOUN,1,2,,GO,RH,Richmond Hill,2,0099c7,FFFFFF,06:15,06:15
GO,01190419-RH,20190215-RH-832,GO,24300.0,24300.0,1,0,0,Gormley GO 06:45 - Union Station 07:41,Gormley GO,43.941617,-79.399033,62,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=GO,0,,1,0.0,20190215,RH - Union Station,,1,20A,GOUN,1,2,,GO,RH,Richmond Hill,2,0099c7,FFFFFF,06:45,06:45
GO,01190419-RH,20190215-RH-834,GO,26100.0,26100.0,1,0,0,Gormley GO 07:15 - Union Station 08:13,Gormley GO,43.941617,-79.399033,62,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=GO,0,,1,0.0,20190215,RH - Union Station,,1,21A,GOUN,1,2,,GO,RH,Richmond Hill,2,0099c7,FFFFFF,07:15,07:15
GO,01190419-RH,20190215-RH-836,GO,27900.0,27900.0,1,0,0,Gormley GO 07:45 - Union Station 08:43,Gormley GO,43.941617,-79.399033,62,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=GO,0,,1,0.0,20190215,RH - Union Station,,1,22A,GOUN,1,2,,GO,RH,Richmond Hill,2,0099c7,FFFFFF,07:45,07:45
GO,01190419-RH,20190215-RH-838,GO,29700.0,29700.0,1,0,0,Gormley GO 08:15 - Union Station 09:13,Gormley GO,43.941617,-79.399033,62,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=GO,0,,1,0.0,20190215,RH - Union Station,,1,23A,GOUN,1,2,,GO,RH,Richmond Hill,2,0099c7,FFFFFF,08:15,08:15
GO,01190419-61,20190215-61-61280,02629,32400.0,32400.0,1,0,0,,Gormley GO,43.94091029999999,-79.3985214,62,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02629,0,,1,0.0,20190215,61F - Union Station,,1,steep202,127294,1,1,61F,GO,61,Richmond Hill Train-Bus Service,3,0099c7,FFFFFF,09:00,09:00
GO,01190419-61,20190215-61-61320,02629,36300.0,36300.0,1,0,0,,Gormley GO,43.94091029999999,-79.3985214,62,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02629,0,,1,0.0,20190215,61C - Union Station,,1,eggoG015,127292,1,1,61C,GO,61,Richmond Hill Train-Bus Service,3,0099c7,FFFFFF,10:05,10:05
GO,01190419-61,20190215-61-61261,02629,38400.0,38400.0,22,0,0,,Gormley GO,43.94091029999999,-79.3985214,62,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02629,0,,1,0.0,20190215,61 - Gormley GO,,0,eggoG011,127287,1,1,61,GO,61,Richmond Hill Train-Bus Service,3,0099c7,FFFFFF,10:40,10:40
GO,01190419-61,20190215-61-61360,02629,39900.0,39900.0,1,0,0,,Gormley GO,43.94091029999999,-79.3985214,62,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02629,0,,1,0.0,20190215,61 - Union Station,,1,eggoG011,127285,1,1,61,GO,61,Richmond Hill Train-Bus Service,3,0099c7,FFFFFF,11:05,11:05
